Name,Code,Price,Building,Project,Area,Floor,Garden,Roof,Usage,10% مقدم,قسط 4 سنين ,0.15,قسط 5 سنين ,Location,Description,ImagePath
7,Hawabay/07/B/7,37440000,07/B,Hawabay,683,2nd,268,96,Villa,3744000,2106000.0,5616000,1591200.0,كمباوند هاواي باي – مبنى 07/B,"وحدة Villa بمساحة 683 م² كود Hawabay/07/B/7 داخل كمباوند هاواي باي. إطلالات خلابة مطلة على البحر sea view مع إطلالة مباشرة على الشاطئ beach view تمنح منظر بحري رائع. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 268 م² مثالية للجلوس. روف بمساحة 96 م² مع تراس واسع قابل لتجهيز جلسة عائلية مع إطلالة بحرية ممتدة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على البحر, sea view, beach view, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, rooftop, روف, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_07_B_7.png
302,Hawabay/06/M/302,6346000,06/M,Hawabay,167,3rd,0,0,Apartment,634600,356962.5,951900,269705.0,كمباوند هاواي باي – مبنى 06/M,"وحدة Apartment بمساحة 167 م² كود Hawabay/06/M/302 داخل كمباوند هاواي باي. واجهة مرتفعة sea view تطل على البحر مباشرة مع إطلالة بحرية خلابة beach view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على البحر مع منظر بحري رائع. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطل على البحر, sea view, beach view, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_06_M_302.png
303,Hawabay/05/M/303,6095000,05/M,Hawabay,167,3rd,0,0,Apartment,609500,342843.75,914250,259037.5,كمباوند هاواي باي – مبنى 05/M,"وحدة Apartment بمساحة 167 م² كود Hawabay/05/M/303 داخل كمباوند هاواي باي. واجهة مرتفعة city view تطل على الشارع الرئيسي مع open view دائمة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطل على الشارع الرئيسي, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, city view, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_05_M_303.png
101,Hawabay/02/L/101,5580000,02/L,Hawabay,150,1st,0,0,Apartment,558000,313875.0,837000,237150.0,كمباوند هاواي باي – مبنى 02/L,"وحدة Apartment بمساحة 150 م² كود Hawabay/02/L/101 داخل كمباوند هاواي باي. تصميم بواجهات زجاجية مطلة على مساحة خضراء لراحة العين. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على مساحة خضراء, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, garden view, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_02_L_101.png
1,Hawabay/06/E/1,14060000,06/E,Hawabay,306,Gr,90,0,Garden Villa,1406000,790875.0,2109000,597550.0,كمباوند هاواي باي – مبنى 06/E,"وحدة Garden Villa بمساحة 306 م² كود Hawabay/06/E/1 داخل كمباوند هاواي باي. إطلالات خلابة مطلة على البحر sea view مع إطلالة مباشرة على الشاطئ beach view تمنح منظر بحري رائع. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 90 م² مثالية للجلوس مع إطلالة بحرية. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على البحر, sea view, beach view, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_06_E_1.png
303,Hawabay/06/M/303,6095000,06/M,Hawabay,167,3rd,0,0,Apartment,609500,342843.75,914250,259037.5,كمباوند هاواي باي – مبنى 06/M,"وحدة Apartment بمساحة 167 م² كود Hawabay/06/M/303 داخل كمباوند هاواي باي. واجهة مرتفعة city view تطل على الشارع الرئيسي مع open view دائمة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطل على الشارع الرئيسي, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, city view, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_06_M_303.png
1,Hawabay/23/G/1,7661000,23/G,Hawabay,181,Gr,103,0,Apartment,766100,430931.25,1149150,325592.5,كمباوند هاواي باي – مبنى 23/G,"وحدة Apartment بمساحة 181 م² كود Hawabay/23/G/1 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. حديقة خاصة private garden بمساحة 103 م² مثالية للجلوس. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: استلام فوري, prime location, master bedroom, security, حديقة خاصة, fully finished, سوبر لوكس, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, elevator, private garden, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, garden view, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_23_G_1.png
102,Hawabay/05/M/102,6346000,05/M,Hawabay,167,1st,0,0,Apartment,634600,356962.5,951900,269705.0,كمباوند هاواي باي – مبنى 05/M,"وحدة Apartment بمساحة 167 م² كود Hawabay/05/M/102 داخل كمباوند هاواي باي. تصميم بواجهات زجاجية مطلة على مساحة خضراء لراحة العين. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على مساحة خضراء, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, garden view, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_05_M_102.png
1,Hawabay/07/E/1,14420000,07/E,Hawabay,306,Gr,90,0,Garden Villa,1442000,811125.0,2163000,612850.0,كمباوند هاواي باي – مبنى 07/E,"وحدة Garden Villa بمساحة 306 م² كود Hawabay/07/E/1 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 90 م² مثالية للجلوس. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, garden view, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_07_E_1.png
202,Hawabay/27/I/202,4070000,27/I,Hawabay,110,2nd,0,0,Apartment,407000,228937.5,610500,172975.0,كمباوند هاواي باي – مبنى 27/I,"وحدة Apartment بمساحة 110 م² كود Hawabay/27/I/202 داخل كمباوند هاواي باي. شرفة مطلة على النادي الرياضي تمنح open view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على النادي, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_27_I_202.png
304,Hawabay/02/L/304,5760000,02/L,Hawabay,150,3rd,0,0,Apartment,576000,324000.0,864000,244800.0,كمباوند هاواي باي – مبنى 02/L,"وحدة Apartment بمساحة 150 م² كود Hawabay/02/L/304 داخل كمباوند هاواي باي. واجهة مرتفعة sea view تطل على البحر مباشرة مع إطلالة بحرية خلابة beach view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على البحر مع منظر بحري رائع. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطل على البحر, sea view, beach view, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_02_L_304.png
6,Hawabay/06/B/6,37440000,06/B,Hawabay,683,2nd,268,96,Villa,3744000,2106000.0,5616000,1591200.0,كمباوند هاواي باي – مبنى 06/B,"وحدة Villa بمساحة 683 م² كود Hawabay/06/B/6 داخل كمباوند هاواي باي. إطلالات خلابة مطلة على البحر sea view مع إطلالة مباشرة على الشاطئ beach view تمنح منظر بحري رائع. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 268 م² مثالية للجلوس مع إطلالة بحرية. روف بمساحة 96 م² مع تراس واسع قابل لتجهيز جلسة عائلية مع إطلالة بحرية ممتدة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على البحر, sea view, beach view, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, rooftop, روف, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_06_B_6.png
