Name,Code,Price,Building,Project,Area,Floor,Garden,Roof,Usage,10% مقدم,قسط 4 سنين ,0.15,قسط 5 سنين ,Location,Description,ImagePath
201,Hawabay/26/G/201,6841800,26/G,Hawabay,189,2nd,0,0,Apartment,684180,384851.25,1026270,290776.5,كمباوند هاواي باي – مبنى 26/G,"وحدة Apartment بمساحة 189 م² كود Hawabay/26/G/201 داخل كمباوند هاواي باي. شرفة مطلة على النادي الرياضي تمنح open view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على النادي, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_26_G_201.png
3,Hawabay/05/M/3,6030000,05/M,Hawabay,163,Gr,30,0,Apartment,603000,339187.5,904500,256275.0,كمباوند هاواي باي – مبنى 05/M,"وحدة Apartment بمساحة 163 م² كود Hawabay/05/M/3 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. حديقة خاصة private garden بمساحة 30 م² مثالية للجلوس. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: استلام فوري, prime location, master bedroom, security, حديقة خاصة, fully finished, سوبر لوكس, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, elevator, private garden, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, garden view, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_05_M_3.png
2,Hawabay/01/D/2,14800000,01/D,Hawabay,288,2nd,0,120,Sky Villa,1480000,832500.0,2220000,629000.0,كمباوند هاواي باي – مبنى 01/D,"وحدة Sky Villa بمساحة 288 م² كود Hawabay/01/D/2 داخل كمباوند هاواي باي. جلسة رووف panoramic view تمنح إطلالة بحرية خلابة sea view مباشرة على البحر مع beach view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. روف بمساحة 120 م² مع تراس واسع قابل لتجهيز جلسة عائلية مع إطلالة بحرية رائعة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, modern finishing, standalone villa, living area كبيرة, suitable for families, مطل على البحر, sea view, beach view, قريب من الخدمات, جاهز للسكن, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, rooftop, روف, gym, security 24/7, panoramic view, villa, high quality materials.",generated_images/Hawabay_01_D_2.png
1,Hawabay/02/L/1,4986600,02/L,Hawabay,124,Gr,67,0,Apartment,498660,280496.25,747990,211930.5,كمباوند هاواي باي – مبنى 02/L,"وحدة Apartment بمساحة 124 م² كود Hawabay/02/L/1 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. حديقة خاصة private garden بمساحة 67 م² مثالية للجلوس. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: استلام فوري, prime location, master bedroom, security, حديقة خاصة, fully finished, سوبر لوكس, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, elevator, private garden, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, garden view, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_02_L_1.png
301,Hawabay/05/M/301,5004000,05/M,Hawabay,139,3rd,0,0,Apartment,500400,281475.0,750600,212670.0,كمباوند هاواي باي – مبنى 05/M,"وحدة Apartment بمساحة 139 م² كود Hawabay/05/M/301 داخل كمباوند هاواي باي. واجهة مرتفعة city view تطل على الشارع الرئيسي مع open view دائمة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطل على الشارع الرئيسي, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, city view, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_05_M_301.png
2,Hawabay/05/E/2,11575000,05/E,Hawabay,247,2nd,0,97,Sky Villa,1157500,651093.75,1736250,491937.5,كمباوند هاواي باي – مبنى 05/E,"وحدة Sky Villa بمساحة 247 م² كود Hawabay/05/E/2 داخل كمباوند هاواي باي. جلسة رووف panoramic view تمنح open view على مساحات خضراء واسعة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. روف بمساحة 97 م² مع تراس واسع قابل لتجهيز جلسة عائلية. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, standalone villa, master bedroom, مطل على مساحة خضراء, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, مطبخ أمريكان, ready to move, open view, حمام سباحة, rooftop, open space, روف, gym, security 24/7, panoramic view, villa, تشطيب كامل.",generated_images/Hawabay_05_E_2.png
203,Hawabay/27/I/203,4958000,27/I,Hawabay,134,2nd,0,0,Apartment,495800,278887.5,743700,210715.0,كمباوند هاواي باي – مبنى 27/I,"وحدة Apartment بمساحة 134 م² كود Hawabay/27/I/203 داخل كمباوند هاواي باي. شرفة مطلة على النادي الرياضي تمنح open view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على النادي, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_27_I_203.png
102,Hawabay/26/G/102,7980000,26/G,Hawabay,210,1st,0,0,Apartment,798000,448875.0,1197000,339150.0,كمباوند هاواي باي – مبنى 26/G,"وحدة Apartment بمساحة 210 م² كود Hawabay/26/G/102 داخل كمباوند هاواي باي. تصميم بواجهات زجاجية مطلة على مساحة خضراء لراحة العين. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على مساحة خضراء, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, حمام سباحة, open space, garden view, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_26_G_102.png
204,Hawabay/02/L/204,5760000,02/L,Hawabay,150,2nd,0,0,Apartment,576000,324000.0,864000,244800.0,كمباوند هاواي باي – مبنى 02/L,"وحدة Apartment بمساحة 150 م² كود Hawabay/02/L/204 داخل كمباوند هاواي باي. شرفة مطلة على النادي الرياضي تمنح open view ممتدة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, مطل على النادي, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_02_L_204.png
1,Hawabay/04/E/1,14843000,04/E,Hawabay,306,Gr,90,0,Garden Villa,1484300,834918.75,2226450,630827.5,كمباوند هاواي باي – مبنى 04/E,"وحدة Garden Villa بمساحة 306 م² كود Hawabay/04/E/1 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 90 م² مثالية للجلوس. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, garden view, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_04_E_1.png
5,Hawabay/05/B/5,37440000,05/B,Hawabay,683,2nd,268,96,Villa,3744000,2106000.0,5616000,1591200.0,كمباوند هاواي باي – مبنى 05/B,"وحدة Villa بمساحة 683 م² كود Hawabay/05/B/5 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 268 م² مثالية للجلوس. روف بمساحة 96 م² مع تراس واسع قابل لتجهيز جلسة عائلية. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, rooftop, garden view, روف, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_05_B_5.png
1,Hawabay/02/D/1,18900000,02/D,Hawabay,375,Gr,152,0,Garden Villa,1890000,1063125.0,2835000,803250.0,كمباوند هاواي باي – مبنى 02/D,"وحدة Garden Villa بمساحة 375 م² كود Hawabay/02/D/1 داخل كمباوند هاواي باي. إطلالات هادئة مطلة على الجاردن garden view مع حديقة خاصة تمنح شعور منتزه خاص. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. تشطيب الترا سوبر لوكس modern finishing باستخدام high quality materials جاهز للاستعمال. مساحة واسعة مع living area كبيرة تناسب suitable for families. حديقة خاصة private garden بمساحة 152 م² مثالية للجلوس. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. villa فيلا للبيع standalone villa ضمن luxury villa gated community. كلمات مفتاحية: استلام فوري, prime location, modern finishing, standalone villa, حديقة خاصة, living area كبيرة, suitable for families, مطل على الجاردن, قريب من الخدمات, جاهز للسكن, private garden, gated community, clubhouse, kids area, luxury villa, فيلا للبيع, الترا سوبر لوكس, مساحة واسعة, ready to move, حمام سباحة, garden view, gym, security 24/7, villa, high quality materials.",generated_images/Hawabay_02_D_1.png
301,Hawabay/02/L/301,5865000,02/L,Hawabay,150,3rd,0,0,Apartment,586500,329906.25,879750,249262.5,كمباوند هاواي باي – مبنى 02/L,"وحدة Apartment بمساحة 150 م² كود Hawabay/02/L/301 داخل كمباوند هاواي باي. واجهة مرتفعة city view تطل على الشارع الرئيسي مع open view دائمة. موقع prime location داخل gated community قريب من الخدمات اليومية والمدارس الدولية. الوحدة fully finished بتشطيب كامل سوبر لوكس جاهزة للسكن. توزيع open space مع مطبخ أمريكان وغرفة نوم master bedroom مريحة. تراس واسع يطل على المساحات المفتوحة. الوحدة جاهز للسكن مع إمكانية استلام فوري ready to move وخطط تقسيط ميسرة. يستفيد الساكن من clubhouse، gym، حمام سباحة، kids area وخدمات security 24/7 داخل المشروع. apartment شقة للبيع داخل compound مزودة بأسانسير elevator وخدمات security دائمة. كلمات مفتاحية: تراس واسع, استلام فوري, prime location, master bedroom, security, fully finished, سوبر لوكس, قريب من الخدمات, جاهز للسكن, elevator, compound, gated community, clubhouse, kids area, شقة, مطل على الشارع الرئيسي, مطبخ أمريكان, شقة للبيع, ready to move, open view, حمام سباحة, open space, gym, city view, security 24/7, apartment, تشطيب كامل.",generated_images/Hawabay_02_L_301.png
